USCM,USCM（殖民地海军陆战队）
ColMarTech,ColMarTech（殖民地海军陆战队科技）
Weyland-Yutani,维兰德-汤谷公司
Souto,索托汽水
Kepler Crisps,开普勒脆片
Marine,海军陆战队员
Colonial Marines,殖民地海军陆战队
CLF,殖民解放阵线
UPP,联合人民阵线
PMC,私人军事承包商
CMB,殖民地矿业局
WY,维兰德-汤谷
synthetic,合成人
vendor,贩售机
vending,贩售
machine,机器
Hot Drinks,热饮
Hot Coffee,热咖啡
Hot Foods,热食
Softdrinks,软饮料
Engineering,工程
Tool,工具
Storage,存储
Electronics,电子
Component,组件
Combat,战斗
Flashlight,手电筒
Hardhat,安全帽
Insulated Gloves,绝缘手套
Utility Tool Belt,实用工具带
Welding Goggles,焊接护目镜
Welding Helmet,焊接头盔
Engineer Kit,工程师套件
Scanner,扫描仪
Atmos,大气
Demolitions,爆破
Meson,介子
Reagent,试剂
T-Ray,T射线
Blowtorch,喷灯
Crowbar,撬棍
Wirecutters,剪线钳
Wrench,扳手
Light Replacer,灯泡更换器
Cable Coil,电缆卷